	Almacen	Fecha	Factura	Cliente	Total venta	Margen de utilidad	Comensales	valor_unidatio
407	Mi llanerita	25/9/2024	395	Consumidor final	17400	16111	1	16111.1111
408	Mi llanerita	25/9/2024	394	Consumidor final	78000	72222	1	72222.2222
409	Mi llanerita	25/9/2024	393	Consumidor final	31600	22823	1	29259.2593
410	Mi llanerita	25/9/2024	392	Consumidor final	13900	12870	1	12870.3704
411	Mi llanerita	25/9/2024	391	Consumidor final	44000	40740	1	40740.7407
412	Mi llanerita	25/9/2024	390	Consumidor final	59000	54629	1	54629.6296
413	Mi llanerita	25/9/2024	389	Consumidor final	122000	112962	1	112962.963
414	Mi llanerita	25/9/2024	388	PETROCASINOS SA	38000	35185	1	35185.1852
415	Mi llanerita	25/9/2024	387	Consumidor final	50400	46920	1	46666.6667
416	Mi llanerita	25/9/2024	386	Consumidor final	43800	40556	1	40555.5556
417	Mi llanerita	25/9/2024	385	Consumidor final	57800	53520	1	53518.5185
418	Mi llanerita	25/9/2024	384	Consumidor final	34000	31481	1	31481.4815
419	Mi llanerita	25/9/2024	383	Consumidor final	194000	179628	1	179629.6296
420	Mi llanerita	25/9/2024	382	INVERSIONES PARAULATA S.A,S	14500	13426	1	13425.9259
421	Mi llanerita	25/9/2024	381	Consumidor final	118200	109695	1	109444.4444
422	Mi llanerita	25/9/2024	380	Consumidor final	60500	56017	1	56018.5185
423	Mi llanerita	25/9/2024	379	Consumidor final	117800	109073	1	109074.0741
424	Mi llanerita	25/9/2024	378	Consumidor final	58500	54167	1	54166.6667
425	Mi llanerita	25/9/2024	377	Consumidor final	27800	25740	1	25740.7407
426	Mi llanerita	25/9/2024	439	Consumidor final	77000	71369	1	71296.2963
427	Mi llanerita	25/9/2024	376	Consumidor final	91800	85134	1	85000.0
428	Mi llanerita	25/9/2024	375	Consumidor final	193900	179654	1	179537.037
429	Mi llanerita	25/9/2024	374	Consumidor final	72000	66666	1	66666.6667
430	Mi llanerita	25/9/2024	373	Consumidor final	20500	18982	1	18981.4815
431	Mi llanerita	25/9/2024	372	Consumidor final	33600	23656	1	31111.1111
432	Mi llanerita	25/9/2024	371	Consumidor final	34000	31481	1	31481.4815
433	Mi llanerita	25/9/2024	370	Consumidor final	47000	43519	1	43518.5185
434	Mi llanerita	25/9/2024	369	Consumidor final	21000	19446	1	19444.4444
435	Mi llanerita	25/9/2024	368	EXCELL SAS	30500	28241	1	28240.7407
436	Mi llanerita	25/9/2024	367	Consumidor final	56600	52526	1	52407.4074
437	Mi llanerita	25/9/2024	366	Consumidor final	20100	18775	1	18611.1111
438	Mi llanerita	25/9/2024	365	Consumidor final	44100	40879	1	40833.3333
439	Mi llanerita	25/9/2024	364	Consumidor final	103500	95833	1	95833.3333
440	Mi llanerita	25/9/2024	363	Consumidor final	78200	72570	1	72407.4074
441	Mi llanerita	25/9/2024	362	Consumidor final	54500	50463	1	50462.963
442	Mi llanerita	25/9/2024	361	Consumidor final	76900	71203	1	71203.7037
443	Mi llanerita	25/9/2024	360	Consumidor final	18600	17341	1	17222.2222
444	Mi llanerita	25/9/2024	359	Consumidor final	58900	54536	1	54537.037
445	Mi llanerita	25/9/2024	358	ALEXANDER FONSECA	43500	40279	1	40277.7778
446	Mi llanerita	25/9/2024	357	Consumidor final	23500	21760	1	21759.2593
447	Mi llanerita	25/9/2024	356	Consumidor final	20600	19119	1	19074.0741
448	Mi llanerita	25/9/2024	355	Consumidor final	51200	47451	1	47407.4074
449	Mi llanerita	25/9/2024	354	DAVEAGRO SAS	59100	54723	1	54722.2222
450	Mi llanerita	25/9/2024	353	Consumidor final	46000	42594	1	42592.5926
451	Mi llanerita	25/9/2024	352	Consumidor final	128900	119353	1	119351.8519
452	Mi llanerita	25/9/2024	350	Consumidor final	13900	12870	1	12870.3704
453	Mi llanerita	25/9/2024	349	Consumidor final	40000	37038	1	37037.037
454	Mi llanerita	25/9/2024	348	Consumidor final	58000	53702	1	53703.7037
455	Mi llanerita	25/9/2024	347	Consumidor final	29500	27360	1	27314.8148
456	Mi llanerita	25/9/2024	346	MARYI MUÑOZ	69600	64488	1	64444.4444
457	Mi llanerita	25/9/2024	345	Consumidor final	19900	18426	1	18425.9259
458	Mi llanerita	25/9/2024	344	Consumidor final	75500	69907	1	69907.4074
459	Mi llanerita	25/9/2024	343	Consumidor final	89900	83717	1	83240.7407
460	Mi llanerita	25/9/2024	342	Consumidor final	80900	74907	1	74907.4074
461	Mi llanerita	25/9/2024	341	Consumidor final	77700	72108	1	71944.4444
462	Mi llanerita	25/9/2024	340	Consumidor final	43900	40648	1	40648.1481
463	Mi llanerita	25/9/2024	339	Consumidor final	15400	14259	1	14259.2593
464	Mi llanerita	25/9/2024	338	Consumidor final	17400	16111	1	16111.1111
465	Mi llanerita	25/9/2024	337	Consumidor final	30000	27852	1	27777.7778
466	Mi llanerita	25/9/2024	336	Consumidor final	30000	27852	1	27777.7778
467	Mi llanerita	25/9/2024	335	Consumidor final	127200	117868	1	117777.7778
468	Mi llanerita	25/9/2024	334	Consumidor final	62100	57751	1	57500.0
469	Mi llanerita	25/9/2024	333	Consumidor final	49400	45920	1	45740.7407
470	Mi llanerita	25/9/2024	332	Consumidor final	42200	39238	1	39074.0741
471	Mi llanerita	25/9/2024	331	Consumidor final	34000	31481	1	31481.4815
472	Mi llanerita	25/9/2024	440	Consumidor final	42100	39100	1	38981.4815
473	Mi llanerita	25/9/2024	330	Consumidor final	45900	42500	1	42500.0
474	Mi llanerita	25/9/2024	329	Consumidor final	57900	53610	1	53611.1111
475	Mi llanerita	25/9/2024	328	Consumidor final	69500	64351	1	64351.8519
476	Mi llanerita	25/9/2024	327	Consumidor final	55900	52013	1	51759.2593
477	Mi llanerita	25/9/2024	326	Consumidor final	56600	52526	1	52407.4074
478	Mi llanerita	25/9/2024	325	Consumidor final	57900	53610	1	53611.1111
479	Mi llanerita	25/9/2024	324	Consumidor final	15500	14470	1	14351.8519
480	Mi llanerita	25/9/2024	323	Consumidor final	56600	52526	1	52407.4074
481	Mi llanerita	25/9/2024	322	Consumidor final	56600	52526	1	52407.4074
482	Mi llanerita	25/9/2024	321	Consumidor final	52000	48312	1	48148.1481
483	Mi llanerita	25/9/2024	320	Consumidor final	31600	29378	1	29259.2593
484	Mi llanerita	25/9/2024	319	Consumidor final	61000	56481	1	56481.4815
485	Mi llanerita	25/9/2024	318	Consumidor final	112900	104611	1	104537.037
486	Mi llanerita	25/9/2024	317	Consumidor final	68000	62962	1	62962.963
487	Mi llanerita	25/9/2024	316	Consumidor final	48900	45278	1	45277.7778
488	Mi llanerita	25/9/2024	315	Consumidor final	55600	51526	1	51481.4815
489	Mi llanerita	25/9/2024	314	Consumidor final	37800	34999	1	35000.0
490	Mi llanerita	25/9/2024	313	Consumidor final	26200	24349	1	24259.2593
491	Mi llanerita	25/9/2024	312	Consumidor final	38900	36018	1	36018.5185
492	Mi llanerita	25/9/2024	311	Consumidor final	8000	7408	1	7407.4074
493	Mi llanerita	25/9/2024	310	Consumidor final	69000	63962	1	63888.8889
494	Mi llanerita	25/9/2024	309	Consumidor final	34000	31481	1	31481.4815
495	Mi llanerita	25/9/2024	308	NATURALES COSMETICOS ZOI	19900	18426	1	18425.9259
496	Mi llanerita	25/9/2024	307	Consumidor final	69000	63962	1	63888.8889
497	Mi llanerita	25/9/2024	306	Consumidor final	38000	35185	1	35185.1852
498	Mi llanerita	25/9/2024	305	Consumidor final	17000	13796	1	15740.7407
499	Mi llanerita	25/9/2024	304	Consumidor final	15400	14260	1	14259.2593
500	Mi llanerita	25/9/2024	303	Consumidor final	5000	4630	1	4629.6296
501	Mi llanerita	25/9/2024	301	Consumidor final	82600	76486	1	76481.4815
502	Mi llanerita	25/9/2024	300	Consumidor final	18900	17500	1	17500.0
503	Mi llanerita	25/9/2024	299	Consumidor final	16900	11203,56	1	15648.1481
504	Mi llanerita	25/9/2024	298	Consumidor final	28900	22315,56	1	26759.2593
505	Mi llanerita	25/9/2024	297	Consumidor final	92100	85278	1	85277.7778
506	Mi llanerita	25/9/2024	296	Consumidor final	14900	9351,56	1	13796.2963
507	Mi llanerita	25/9/2024	295	ECOLOGIC S.A.S	98000	90743	1	90740.7407
508	Mi llanerita	25/9/2024	294	Consumidor final	36300	33612	1	33611.1111
509	Mi llanerita	25/9/2024	293	Consumidor final	16700	15463	1	15462.963
510	Mi llanerita	25/9/2024	292	Consumidor final	18500	17249	1	17129.6296
511	Mi llanerita	25/9/2024	291	Consumidor final	12900	11945	1	11944.4444
512	Mi llanerita	25/9/2024	290	DISTRIBUCIONES FEDEAGRO VILLAVICENCIO S.A.S	30600	28334	1	28333.3333
513	Mi llanerita	25/9/2024	289	Consumidor final	12500	11619	1	11574.0741
514	Mi llanerita	25/9/2024	288	Consumidor final	16700	15463	1	15462.963
515	Mi llanerita	25/9/2024	287	Consumidor final	33800	31296	1	31296.2963
516	Mi llanerita	25/9/2024	286	EL TREBOL S.A.S	29401	33786,0016666667	1	27223.1481
517	Mi llanerita	24/9/2024	285	Consumidor final	39000	36112	1	36111.1111
518	Mi llanerita	24/9/2024	284	HEMATOLOGIA Y ONCOLOGIA DEL ORIENTE SAS	239000	221367	1	221296.2963
519	Mi llanerita	24/9/2024	283	Consumidor final	23500	21760	1	21759.2593
520	Mi llanerita	24/9/2024	282	Consumidor final	17000	15740	1	15740.7407
521	Mi llanerita	24/9/2024	281	Consumidor final	38000	35185	1	35185.1852
522	Mi llanerita	24/9/2024	280	Consumidor final	106000	98594	1	98148.1481
523	Mi llanerita	24/9/2024	279	Consumidor final	46000	42594	1	42592.5926
524	Mi llanerita	24/9/2024	278	Consumidor final	69000	63889	1	63888.8889
525	Mi llanerita	24/9/2024	277	Consumidor final	126000	116667	1	116666.6667
526	Mi llanerita	24/9/2024	276	Consumidor final	64400	59674	1	59629.6296
527	Mi llanerita	24/9/2024	275	Consumidor final	62900	58240	1	58240.7407
528	Mi llanerita	24/9/2024	274	Consumidor final	390500	361570	1	361574.0741
529	Mi llanerita	24/9/2024	273	Consumidor final	88500	81943	1	81944.4444
530	Mi llanerita	24/9/2024	272	Consumidor final	145000	134379	1	134259.2593
531	Mi llanerita	24/9/2024	271	Consumidor final	48500	44907	1	44907.4074
532	Mi llanerita	24/9/2024	270	Consumidor final	63000	58333	1	58333.3333
533	Mi llanerita	24/9/2024	269	Consumidor final	103000	95443	1	95370.3704
534	Mi llanerita	24/9/2024	268	Consumidor final	59000	54630	1	54629.6296
535	Mi llanerita	24/9/2024	267	Consumidor final	121400	112482	1	112407.4074
536	Mi llanerita	24/9/2024	266	Consumidor final	23500	21760	1	21759.2593
537	Mi llanerita	24/9/2024	265	Consumidor final	40000	37037	1	37037.037
538	Mi llanerita	24/9/2024	264	Consumidor final	23500	21760	1	21759.2593
539	Mi llanerita	24/9/2024	263	Consumidor final	57400	53402	1	53148.1481
540	Mi llanerita	24/9/2024	262	Consumidor final	76000	70370	1	70370.3704
541	Mi llanerita	24/9/2024	261	Consumidor final	46000	42594	1	42592.5926
542	Mi llanerita	24/9/2024	260	Consumidor final	73900	68425	1	68425.9259
543	Mi llanerita	24/9/2024	259	Consumidor final	24000	22223	1	22222.2222
544	Mi llanerita	24/9/2024	258	Consumidor final	34000	31481	1	31481.4815
545	Mi llanerita	24/9/2024	257	Consumidor final	1000	1000	1	925.9259
546	Mi llanerita	24/9/2024	256	Consumidor final	46500	43056	1	43055.5556
547	Mi llanerita	24/9/2024	255	Consumidor final	144000	133331	1	133333.3333
548	Mi llanerita	24/9/2024	254	Consumidor final	78000	72222	1	72222.2222
549	Mi llanerita	24/9/2024	253	Consumidor final	94000	87035	1	87037.037
